Title,Observation note (prefilled),Latitude,Longitude,What did you see?
SIMULATED EXAMPLE DEMO-01,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-01 (Illustrative market-side path). Example observation time: 12 Sep 2026, 12:30 SGT. Example condition: Full.",1.31097,103.78823,Full
SIMULATED EXAMPLE DEMO-02,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-02 (Illustrative Ghim Moh Road point). Example observation time: 12 Sep 2026, 18:40 SGT. Example condition: Litter outside the bin.",1.3113,103.78864,Litter outside the bin
SIMULATED EXAMPLE DEMO-03,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-03 (Illustrative estate walkway). Example observation time: 13 Sep 2026, 08:10 SGT. Example condition: Nearly full.",1.31154,103.78916,Nearly full
SIMULATED EXAMPLE DEMO-04,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-04 (Illustrative route east of market). Example observation time: 13 Sep 2026, 13:15 SGT. Example condition: Full.",1.31174,103.7897,Full
SIMULATED EXAMPLE DEMO-05,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-05 (Illustrative residential path). Example observation time: 14 Sep 2026, 19:05 SGT. Example condition: Full.",1.31145,103.79033,Full
SIMULATED EXAMPLE DEMO-06,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-06 (Illustrative shared walkway). Example observation time: 15 Sep 2026, 09:00 SGT. Example condition: Nearly full.",1.31182,103.79091,Nearly full
SIMULATED EXAMPLE DEMO-07,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-07 (Illustrative Ghim Moh Gardens point). Example observation time: 15 Sep 2026, 12:50 SGT. Example condition: Litter outside the bin.",1.31158,103.79138,Litter outside the bin
SIMULATED EXAMPLE DEMO-08,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-08 (Illustrative estate route). Example observation time: 16 Sep 2026, 18:20 SGT. Example condition: Full.",1.31186,103.79205,Full
SIMULATED EXAMPLE DEMO-09,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-09 (Illustrative path toward Block 21). Example observation time: 17 Sep 2026, 08:45 SGT. Example condition: Nearly full.",1.31149,103.79281,Nearly full
SIMULATED EXAMPLE DEMO-10,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-10 (Illustrative Block 21 vicinity). Example observation time: 17 Sep 2026, 13:35 SGT. Example condition: Litter outside the bin.",1.31121,103.79345,Litter outside the bin
SIMULATED EXAMPLE DEMO-11,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-01 (Illustrative market-side path). Example observation time: 12 Sep 2026, 12:45 SGT. Example condition: Full.",1.31097,103.78823,Full
SIMULATED EXAMPLE DEMO-12,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-01 (Illustrative market-side path). Example observation time: 14 Sep 2026, 08:20 SGT. Example condition: Nearly full.",1.31097,103.78823,Nearly full
SIMULATED EXAMPLE DEMO-13,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-01 (Illustrative market-side path). Example observation time: 18 Sep 2026, 18:50 SGT. Example condition: Litter outside the bin.",1.31097,103.78823,Litter outside the bin
SIMULATED EXAMPLE DEMO-14,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-02 (Illustrative Ghim Moh Road point). Example observation time: 12 Sep 2026, 18:55 SGT. Example condition: Litter outside the bin.",1.3113,103.78864,Litter outside the bin
SIMULATED EXAMPLE DEMO-15,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-02 (Illustrative Ghim Moh Road point). Example observation time: 16 Sep 2026, 12:15 SGT. Example condition: Full.",1.3113,103.78864,Full
SIMULATED EXAMPLE DEMO-16,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-02 (Illustrative Ghim Moh Road point). Example observation time: 18 Sep 2026, 09:10 SGT. Example condition: Nearly full.",1.3113,103.78864,Nearly full
SIMULATED EXAMPLE DEMO-17,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-03 (Illustrative estate walkway). Example observation time: 13 Sep 2026, 12:25 SGT. Example condition: Full.",1.31154,103.78916,Full
SIMULATED EXAMPLE DEMO-18,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-03 (Illustrative estate walkway). Example observation time: 17 Sep 2026, 12:40 SGT. Example condition: Full.",1.31154,103.78916,Full
SIMULATED EXAMPLE DEMO-19,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-04 (Illustrative route east of market). Example observation time: 13 Sep 2026, 13:25 SGT. Example condition: Full.",1.31174,103.7897,Full
SIMULATED EXAMPLE DEMO-20,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-04 (Illustrative route east of market). Example observation time: 18 Sep 2026, 08:05 SGT. Example condition: Nearly full.",1.31174,103.7897,Nearly full
SIMULATED EXAMPLE DEMO-21,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-05 (Illustrative residential path). Example observation time: 14 Sep 2026, 19:15 SGT. Example condition: Litter outside the bin.",1.31145,103.79033,Litter outside the bin
SIMULATED EXAMPLE DEMO-22,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-05 (Illustrative residential path). Example observation time: 17 Sep 2026, 18:55 SGT. Example condition: Full.",1.31145,103.79033,Full
SIMULATED EXAMPLE DEMO-23,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-06 (Illustrative shared walkway). Example observation time: 15 Sep 2026, 12:05 SGT. Example condition: Full.",1.31182,103.79091,Full
SIMULATED EXAMPLE DEMO-24,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-07 (Illustrative Ghim Moh Gardens point). Example observation time: 18 Sep 2026, 13:05 SGT. Example condition: Litter outside the bin.",1.31158,103.79138,Litter outside the bin
SIMULATED EXAMPLE DEMO-25,"SIMULATED EXAMPLE for DEP5118; not a real incident or a confirmed bin location. Example site: SITE-08 (Illustrative estate route). Example observation time: 18 Sep 2026, 18:30 SGT. Example condition: Full.",1.31186,103.79205,Full
